"activity" "mean" "st.dev" "subject"
"STANDING" -0.588439835704893 0.532217103294447 2
"STANDING" -0.63083202631625 0.537319911264927 2
"STANDING" -0.649244186404286 0.527098178774219 2
"STANDING" -0.644646493108393 0.534989314523257 2
"STANDING" -0.649657251231357 0.526714867257487 2
"STANDING" -0.652111180305 0.523659585037806 2
"STANDING" -0.650521030692107 0.527838358817455 2
"STANDING" -0.657266316862321 0.530886203089777 2
"STANDING" -0.653675320325018 0.53442117804536 2
"STANDING" -0.658971423512946 0.53435123219061 2
"STANDING" -0.654734855725571 0.535745600035537 2
"STANDING" -0.652996738844643 0.543250920883857 2
"STANDING" -0.653134028214821 0.542592061138075 2
"STANDING" -0.6503084023625 0.539710458522896 2
"STANDING" -0.647995409484643 0.533364246017583 2
"STANDING" -0.636337580772804 0.537037294704268 2
"STANDING" -0.613164415719482 0.545817171101649 2
"STANDING" -0.621586751132857 0.560845760011116 2
"STANDING" -0.640065352069464 0.538102945569369 2
"STANDING" -0.620839275796429 0.532072214210561 2
"STANDING" -0.617130535143536 0.528746357580019 2
"STANDING" -0.583409670241054 0.550842069655265 2
"STANDING" -0.569640524591482 0.537869922777768 2
"STANDING" -0.587728483036786 0.526582918499368 2
"STANDING" -0.645023694252446 0.524984931297048 2
"STANDING" -0.646195155635195 0.522725237551006 2
"STANDING" -0.642760397343929 0.532886763099854 2
"STANDING" -0.648935805002143 0.528392852649954 2
"STANDING" -0.642774512522946 0.53746037111598 2
"STANDING" -0.635010388548214 0.550042160965158 2
"STANDING" -0.630646193474732 0.552260695595195 2
"SITTING" -0.624130176028696 0.541639560075104 2
"SITTING" -0.643500097085357 0.542223751482355 2
"SITTING" -0.660313854831964 0.539303809198727 2
"SITTING" -0.648285805487123 0.537679322755247 2
"SITTING" -0.643028385064786 0.534777090330261 2
"SITTING" -0.653384884456071 0.529172217833339 2
"SITTING" -0.656510065061089 0.524431459519595 2
"SITTING" -0.66046604036125 0.525976294022512 2
"SITTING" -0.655027855067625 0.531588487773616 2
"SITTING" -0.659308009560911 0.529124494963225 2
"SITTING" -0.660633566068929 0.527380527693979 2
"SITTING" -0.653476737197143 0.525521421347132 2
"SITTING" -0.648022801435857 0.529843941254008 2
"SITTING" -0.599281251085 0.546924789886731 2
"SITTING" -0.623383583781071 0.548105500074175 2
"SITTING" -0.643819794936607 0.545743265297382 2
"SITTING" -0.642376853613286 0.546252835473043 2
"SITTING" -0.645420240708393 0.520620106886466 2
